Facility,Latitude,Longitude
Causeway Bay,22.28013296,114.1850901
Central,22.2818145,114.1581274
Central/Western,22.28489089,114.1444207
Eastern,22.28288555,114.2193716
Kwai Chung,22.35710398,114.1296014
Kwun Tong,22.3096251,114.2311742
Mong Kok,22.32261115,114.1682718
North,22.49669723,114.1282441
Sha Tin,22.37628072,114.1845316
Sham Shui Po,22.3302259,114.1591091
Southern,22.24746092,114.1601401
Tai Po,22.45095988,114.1645702
Tap Mun,22.47131669,114.3607185
Tseung Kwan O,22.31764241,114.2595614
Tsuen Wan,22.37174191,114.1145349
Tuen Mun,22.39114326,113.9767283
Tung Chung,22.28888887,113.943659
Yuen Long,22.44515508,114.0226489