station_code,station_name_en,latitude,longitude,above_mean_sea_level
CLK,Chek Lap Kok,22.30944444,113.9219444,6
CCH,Cheung Chau,22.20111111,114.0266667,72
HPV,Happy Valley,22.27055556,114.1836111,5
HKO,Hong Kong Observatory,22.30194444,114.1741667,32
HKP,Hong Kong Park,22.27833333,114.1622222,26
SE1,Kai Tak Runway Park,22.30972222,114.2133333,3.8
KP,King's Park,22.31194444,114.1727778,65
KLT,Kowloon City,22.335,114.1847222,92
KTG,Kwun Tong,22.31861111,114.2247222,90
LFS,Lau Fau Shan,22.46888889,113.9836111,31
SKG,Sai Kung,22.37555556,114.2744444,4
SHA,Sha Tin,22.4025,114.21,6
SSP,Sham Shui Po,22.33583333,114.1369444,11
SKW,Shau Kei Wan,22.28166667,114.2361111,53
SEK,Shek Kong,22.43611111,114.0847222,16
STY,Stanley,22.21416667,114.2186111,31
TKL,Ta Kwu Ling,22.52861111,114.1566667,15
PLC,Tai Mei Tuk,22.47527778,114.2375,51
TPO,Tai Po,22.44611111,114.1788889,15
JKB,Tseung Kwan O,22.31583333,114.2555556,38
TY1,Tsing Yi,22.34805556,114.1091667,8
TWN,Tsuen Wan,22.38361111,114.1077778,142
TW,Tsuen Wan Shing Mun Valley,22.37555556,114.1238889,35
TU1,Tuen Mun,22.39055556,113.9766667,28
HKS,Wong Chuk Hang,22.24777778,114.1736111,5
WTS,Wong Tai Sin,22.33944444,114.2052778,21
YLP,Yuen Long Park,22.41888889,113.9961111,8